1027,980,54,669,12
2481,918,226,1362,38
222867,34726,21020,20719,3016
3123,14262,184,246,38
590,459,13,26,8
1604,207,39,45,8
1444,3538,47,92,36
73331,10392,6348,3008,414
1946,359,22,41,6
24990,5519,506,2069,172
46056,5765,783,1149,232
10566,2589,141,716,53
9032,2442,171,2519,150
507,1098,34,29,11
68064,8366,2216,2491,471
2468,7326,105,140,31
1752,4966,113,454,66
1489,5988,94,112,21
3348,2438,28,118,18
6705,2242,121,495,51
1993,1094,28,93,8
5749,1062,203,99,34
8000,1775,126,465,55
798,6925,52,56,14
5025,1271,50,224,25
379,280,6,29,10
1963,4015,129,91,9
